,,Day0,Day3,Day5,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24
WT,1ml virus,1660000,2420000,1820000,1520000,1080000,880000,1720000,3400000,9760000,15920000,36160000,73920000,136960000,262400000,552960000,,,,,,
WT,1ml virus,1840000,2530000,1990000,1640000,1280000,1680000,1780000,2780000,7840000,11440000,26560000,50560000,80640000,253440000,445440000,,,,,,
WT,100ul virus,2060000,2440000,2170000,1720000,1000000,840000,760000,960000,860000,1060000,1420000,3200000,4640000,9360000,20160000,38080000,94720000,138240000,212480000,432640000,
M244V,1ml virus,2440000,2900000,1880000,3580000,4800000,6040000,7360000,12640000,22400000,37600000,,,,,,,,,,,
M244V,1ml virus,2320000,2570000,3830000,8880000,10040000,20000000,41920000,40800000,74240000,126080000,,,,,,,,,,,
M244V,100ul virus,1860000,2140000,1860000,1770000,2320000,2860000,3680000,6720000,12000000,12320000,24160000,38080000,79360000,85120000,,,,,,,
M244V,100ul virus,2160000,2510000,2840000,6520000,6600000,12000000,17280000,29280000,48640000,92160000,179200000,218880000,,,,,,,,,
M244V,10ul virus,1540000,2040000,2000000,1520000,1780000,2880000,4200000,9200000,14000000,18080000,32160000,64960000,90880000,149760000,,,,,,,
M244V,10ul virus,2450000,2650000,2420000,3260000,3600000,5520000,6880000,12400000,14640000,32000000,51520000,125440000,290560000,,,,,,,,
M244V,1ul virus,1530000,1780000,1660000,1280000,1120000,1300000,900000,1320000,2180000,3040000,6000000,8400000,11360000,17920000,27680000,33060000,43840000,,,,
M244V,1ul virus,2090000,2270000,2300000,1060000,1740000,2520000,3920000,6840000,7520000,16800000,35520000,66560000,130560000,,,,,,,,
E255K,1ml virus,2220000,2800000,2400000,3330000,3080000,5120000,5920000,13600000,26240000,38240000,,,,,,,,,,,
E255K,1ml virus,2040000,1790000,2890000,5600000,6840000,11920000,19120000,25760000,47360000,90880000,,,,,,,,,,,
E255K,1ml virus,970000,1350000,1510000,2920000,4080000,9840000,14480000,37440000,83840000,117760000,153600000,252160000,486400000,,,,,,,,
E255K,1ml virus,1190000,1690000,1200000,1560000,3080000,5760000,9880000,19840000,34240000,88320000,133760000,244480000,401920000,,,,,,,,
E255K,100ul virus,1500000,1540000,1260000,1260000,1460000,1640000,3220000,3920000,9280000,16240000,26400000,40000000,56320000,90880000,,,,,,,
E255K,100ul virus,2420000,2100000,2870000,2760000,3840000,8240000,12800000,17280000,29920000,41120000,62720000,85120000,,,,,,,,,
E255K,100ul virus,620000,880000,1230000,1730000,3320000,4160000,10640000,13840000,25600000,55360000,84480000,148480000,275200000,343040000,,,,,,,
E255K,100ul virus,610000,950000,960000,1650000,2600000,4800000,13120000,16000000,30400000,58560000,105600000,169600000,212480000,432640000,,,,,,,
E255K,10ul virus,1640000,2750000,2330000,2120000,1600000,1480000,1420000,2080000,6320000,9120000,19840000,37440000,58560000,123200000,,,,,,,
E255K,10ul virus,2100000,2510000,2530000,2260000,2340000,2680000,4560000,8560000,14960000,26560000,49600000,115200000,239360000,,,,,,,,
E255K,10ul virus,520000,970000,690000,560000,460000,540000,560000,600000,1440000,2060000,2780000,3660000,5200000,9800000,22720000,30720000,55680000,92800000,121600000,172800000,417280000
E255K,1ul virus,2010000,2080000,1920000,1460000,1340000,1320000,1700000,1780000,2740000,3600000,7040000,10880000,20480000,41920000,55360000,103680000,158720000,,,,
E255V,1ml virus,1600000,3100000,1760000,4100000,4800000,6480000,8040000,15680000,24320000,31840000,,,,,,,,,,,
E255V,1ml virus,2070000,2830000,3610000,6440000,9120000,14560000,26560000,36480000,58880000,103040000,,,,,,,,,,,
E255V,1ml virus,1120000,1700000,3480000,5100000,10800000,12320000,18800000,32640000,50240000,100480000,126720000,189440000,422400000,,,,,,,,
E255V,1ml virus,740000,1070000,2240000,3680000,6320000,16080000,33280000,54400000,98560000,176640000,268800000,465920000,,,,,,,,,
E255V,100ul virus,1860000,2570000,2640000,2800000,4180000,4400000,5280000,9200000,13040000,18480000,32960000,50880000,71200000,128640000,,,,,,,
E255V,100ul virus,2070000,2530000,2920000,7920000,9080000,17440000,26880000,45980000,69120000,94720000,174080000,266240000,,,,,,,,,
E255V,100ul virus,620000,880000,1230000,1730000,3320000,4160000,10640000,13840000,25600000,55360000,84480000,148480000,275200000,343040000,,,,,,,
E255V,100ul virus,610000,950000,960000,1650000,2600000,4800000,13120000,16000000,30400000,58560000,105600000,169600000,212480000,432640000,,,,,,,
E255V,10ul virus,1620000,2440000,2290000,1970000,2440000,3260000,3720000,5760000,13920000,16560000,33600000,51840000,121600000,162560000,,,,,,,
E255V,10ul virus,1690000,1830000,2250000,2980000,3180000,3860000,8240000,12880000,16320000,26800000,46800000,98560000,194560000,,,,,,,,
E255V,10ul virus,760000,780000,730000,720000,1440000,2120000,2520000,7120000,9760000,14720000,39680000,53120000,133120000,154880000,304640000,,,,,,
E255V,10ul virus,860000,700000,600000,650000,1040000,1600000,2140000,5600000,10880000,12720000,30400000,65600000,126720000,252160000,386560000,,,,,,
E255V,1ul virus,1800000,2460000,2220000,2020000,1960000,2340000,2960000,3880000,6920000,11600000,20160000,24000000,55360000,94080000,135040000,222080000,302080000,,,,
E255V,1ul virus,2570000,1930000,1720000,1880000,2780000,3820000,5600000,6680000,9160000,18240000,24160000,52480000,101120000,,,,,,,,
E255V,1ul virus,820000,780000,780000,680000,460000,1120000,1520000,3060000,5720000,13360000,23360000,33280000,86400000,122880000,226560000,422400000,,,,,
M351T,1ml virus,1860000,2380000,1640000,3400000,4040000,6840000,9520000,14720000,29600000,41440000,,,,,,,,,,,
M351T,1ml virus,2320000,1610000,1260000,1980000,2140000,4040000,5440000,5760000,9520000,16880000,29440000,54720000,75520000,103040000,134400000,238080000,,,,,
M351T,100ul virus,1870000,2390000,2240000,1840000,2500000,3300000,4500000,6000000,11520000,19440000,32960000,50240000,77400000,111680000,,,,,,,
M351T,100ul virus,1980000,2480000,2720000,5480000,7360000,15040000,24320000,43840000,63360000,90880000,224000000,331520000,,,,,,,,,
M351T,10ul virus,1690000,2630000,2220000,2020000,2400000,3720000,4920000,8560000,14000000,21360000,38720000,72320000,95560000,180480000,,,,,,,
M351T,10ul virus,2090000,2110000,2240000,2320000,3720000,4700000,6960000,9360000,14640000,30080000,47680000,120320000,286720000,,,,,,,,
M351T,1ul virus,1820000,2390000,1920000,2000000,1640000,1540000,1320000,1880000,3040000,5040000,8000000,8960000,19880000,46080000,57600000,80000000,122880000,,,,
M351T,1ul virus,1820000,1790000,1750000,1760000,2160000,2340000,4920000,6760000,8920000,25440000,39520000,85120000,142720000,,,,,,,,
F359V,1ml virus,1720000,2550000,1370000,3670000,6960000,6320000,8240000,15680000,25600000,41760000,,,,,,,,,,,
F359V,1ml virus,1530000,1900000,4430000,7440000,11120000,19360000,32160000,38880000,69760000,132480000,,,,,,,,,,,
F359V,100ul virus,1900000,2360000,2380000,2590000,3100000,3220000,4300000,6560000,11600000,13280000,28800000,48640000,64320000,85120000,,,,,,,
F359V,100ul virus,2060000,1870000,2700000,5560000,7480000,16160000,32960000,41280000,57600000,99200000,204800000,289280000,,,,,,,,,
F359V,10ul virus,1666000,2370000,1770000,1900000,2500000,3100000,4600000,7600000,13200000,21840000,45600000,69440000,126080000,181060000,,,,,,,
F359V,10ul virus,2400000,2610000,2690000,2820000,2480000,4460000,8560000,12080000,16080000,36800000,51560000,119040000,213760000,,,,,,,,
F359V,1ul virus,1700000,2350000,1500000,1440000,1520000,1520000,2160000,3660000,5500000,9200000,20320000,22320000,51840000,78080000,113280000,168960000,281600000,,,,
F359V,1ul virus,2330000,2020000,1760000,1840000,1980000,3000000,5360000,8040000,12600000,19200000,32000000,103600000,141440000,,,,,,,,
E459K,1ml virus,2260000,2700000,2480000,3290000,4680000,7280000,7200000,13600000,24800000,27520000,,,,,,,,,,,
E459K,1ml virus,1870000,2520000,3900000,6680000,11680000,15680000,26080000,39360000,65280000,119680000,,,,,,,,,,,
E459K,100ul virus,1300000,2170000,1650000,2380000,3140000,4480000,4900000,7680000,11760000,14240000,25760000,48960000,66560000,81600000,,,,,,,
E459K,100ul virus,1860000,2260000,2850000,4080000,7240000,15360000,28480000,31200000,52480000,115840000,185600000,266260000,,,,,,,,,
E459K,10ul virus,1130000,1360000,1190000,1240000,1660000,2020000,4680000,6640000,13280000,19520000,37120000,60160000,111360000,190080000,,,,,,,
E459K,10ul virus,2070000,2290000,2330000,2420000,2760000,4060000,8560000,13040000,14240000,36800000,64320000,116480000,239360000,,,,,,,,
E459K,1ul virus,1810000,2150000,2440000,1610000,1100000,1840000,2220000,2140000,2900000,3760000,11320000,14240000,21120000,45120000,62080000,98560000,153600000,,,,
E459K,1ul virus,2110000,1680000,1580000,1540000,1300000,1620000,1540000,2740000,3480000,6080000,9040000,18400000,20160000,25280000,41280000,58240000,101760000,,,,
L248V,1ml virus,820000,1300000,1890000,3700000,4400000,9920000,13320000,29440000,54720000,104960000,231680000,,,,,,,,,,
L248V,1ml virus,1300000,1610000,2160000,4100000,8800000,11280000,28960000,59520000,94720000,157440000,254720000,427520000,,,,,,,,,
L248V,100ul virus,790000,770000,860000,1320000,2440000,3440000,8560000,14800000,26240000,59840000,75520000,145920000,244480000,442880000,,,,,,,
L248V,100ul virus,1130000,1760000,1500000,2020000,2760000,3660000,7040000,12720000,29440000,56000000,94720000,155520000,234340000,407040000,,,,,,,
L248V,10ul virus,760000,1030000,650000,950000,1220000,2180000,2400000,6160000,11280000,20000000,28800000,68480000,124160000,209920000,478720000,,,,,,
L248V,10ul virus,1030000,1600000,1520000,1040000,1600000,1720000,2800000,5360000,10000000,17840000,36480000,73280000,168960000,286720000,399360000,,,,,,
Y253H,1ml virus,1000000,1540000,2170000,3580000,7760000,13120000,23120000,37440000,74240000,105600000,185600000,289280000,529920000,,,,,,,,
Y253H,1ml virus,1110000,1660000,2100000,4260000,8040000,12720000,27200000,55680000,86720000,166400000,281600000,427520000,,,,,,,,,
Y253H,100ul virus,830000,810000,950000,1810000,2680000,4720000,10880000,18400000,33920000,60160000,97280000,225280000,299520000,450560000,,,,,,,
Y253H,100ul virus,810000,1610000,1570000,1950000,2800000,3800000,8800000,15520000,34880000,48000000,102400000,145920000,293120000,424960000,,,,,,,
Y253H,10ul virus,720000,930000,680000,630000,900000,1340000,2380000,6240000,10960000,16080000,34560000,64000000,166400000,268800000,512000000,,,,,,
Y253H,10ul virus,690000,1180000,1110000,780000,840000,1920000,2500000,5920000,10960000,18240000,35840000,72320000,126720000,267520000,496640000,,,,,,
Y253H,1ul virus,780000,770000,830000,530000,500000,500000,880000,1380000,2620000,4080000,5920000,11440000,21760000,39360000,94720000,192000000,473600000,,,,
G250E,1ml virus,750000,1460000,2500000,3420000,7360000,13280000,15760000,37120000,53120000,164480000,206080000,239360000,414720000,,,,,,,,
G250E,1ml virus,1110000,1440000,1760000,3020000,6280000,11680000,26880000,43840000,76800000,170240000,252160000,419840000,,,,,,,,,
G250E,100ul virus,630000,700000,870000,1150000,2260000,3680000,7840000,11920000,29120000,72640000,117120000,261120000,275200000,345600000,,,,,,,
G250E,100ul virus,740000,1330000,1004000,1320000,2580000,3740000,6800000,13280000,29440000,48960000,85760000,158720000,325120000,,,,,,,,
G250E,10ul virus,730000,820000,690000,680000,920000,2060000,2940000,8080000,10400000,22400000,41920000,91520000,243200000,455680000,,,,,,,
G250E,10ul virus,840000,850000,900000,870000,800000,1900000,2420000,5920000,8720000,13920000,40960000,58560000,136960000,259840000,399360000,,,,,,
V299L,1ml virus,1340000,1626000,2260000,1680000,1560000,3880000,5840000,11680000,31360000,43840000,72320000,138880000,280320000,,,,,,,,
V299L,1ml virus,860000,940000,950000,860000,1760000,3240000,6320000,13280000,16320000,27840000,54720000,136320000,231680000,,,,,,,,
V299L,100ul virus,1090000,1720000,1310000,1180000,900000,800000,1180000,1340000,2700000,3500000,5120000,6000000,8400000,17280000,42240000,75520000,95360000,179200000,,,
V299L,100ul virus,630000,1000000,650000,550000,580000,780000,1340000,2040000,2340000,4360000,5760000,13280000,27200000,41920000,104960000,215040000,432640000,,,,
T315I,1ml virus,1120000,1650000,3260000,5380000,7680000,10000000,18240000,27840000,60800000,90240000,160000000,304640000,473600000,,,,,,,,
T315I,1ml virus,1210000,1610000,2940000,4080000,8960000,16000000,26240000,59840000,69120000,200960000,244480000,424960000,,,,,,,,,
T315I,100ul virus,880000,1320000,920000,1770000,3160000,4740000,10320000,14560000,26560000,61120000,83200000,111360000,280320000,440320000,,,,,,,
T315I,100ul virus,1230000,1470000,1290000,1940000,3960000,5200000,7840000,12720000,34240000,45440000,106880000,178560000,249600000,488960000,,,,,,,
T315I,10ul virus,920000,1180000,830000,980000,900000,1420000,2100000,3200000,4320000,9680000,10880000,19520000,39040000,66560000,128000000,245760000,,,,,
T315I,10ul virus,890000,1610000,840000,1140000,1780000,2440000,2940000,9360000,15120000,16400000,42560000,72960000,130560000,230400000,414720000,,,,,,
T315I,1ul virus,1200000,980000,1000000,890000,1040000,1300000,2580000,3240000,7920000,11360000,23760000,58880000,79360000,211200000,262400000,455680000,,,,,
F317L,1ml virus,910000,1530000,2240000,3840000,8720000,11040000,24000000,53120000,113920000,175360000,280320000,550400000,,,,,,,,,
F317L,1ml virus,1370000,1720000,2570000,4860000,7920000,15200000,36160000,73920000,91520000,176640000,281600000,609280000,,,,,,,,,
F317L,100ul virus,790000,1070000,1250000,2070000,3340000,4480000,7840000,11360000,35840000,54080000,90880000,189440000,348160000,,,,,,,,
F317L,100ul virus,840000,920000,1280000,1840000,2780000,4260000,6240000,14480000,28160000,45760000,80640000,143360000,229120000,555520000,,,,,,,
F317L,10ul virus,840000,1080000,670000,1080000,1400000,3140000,4340000,10080000,21040000,40640000,65280000,156160000,316160000,417280000,,,,,,,
F317L,10ul virus,570000,660000,730000,410000,740000,740000,1380000,2140000,4280000,7240000,11840000,24800000,45440000,98560000,181760000,353280000,,,,,
F317L,1ul virus,950000,930000,1210000,770000,1100000,1640000,2500000,7680000,14000000,27280000,41600000,101760000,144000000,257280000,522240000,,,,,,
E355A,1ml virus,960000,1570000,2470000,4160000,5840000,10880000,14720000,27200000,71040000,81920000,158720000,254720000,560640000,,,,,,,,
E355A,1ml virus,840000,1020000,1960000,3320000,6960000,13200000,33920000,61440000,113280000,239360000,309760000,668160000,,,,,,,,,
E355A,100ul virus,640000,970000,980000,1590000,2400000,4120000,11760000,12640000,43520000,50560000,110080000,204800000,320000000,,,,,,,,
E355A,100ul virus,670000,820000,860000,1520000,2260000,4440000,9040000,14800000,35520000,60480000,104960000,122880000,227840000,381440000,,,,,,,
E355A,10ul virus,660000,910000,830000,780000,880000,1360000,2360000,3080000,5760000,11280000,15920000,27520000,53440000,54080000,107520000,184320000,366080000,,,,
E355A,10ul virus,640000,930000,690000,630000,800000,1200000,1700000,2980000,5320000,7440000,14080000,27840000,66560000,119040000,197120000,371200000,,,,,
E355A,1ul virus,910000,1050000,880000,780000,640000,540000,880000,900000,2840000,4040000,5120000,8160000,11040000,17920000,30080000,57600000,112640000,279040000,,,
F359C,1ml virus,810000,1260000,1940000,2620000,4280000,6480000,8240000,19520000,29920000,52800000,68800000,133120000,300800000,366080000,,,,,,,
F359C,1ml virus,890000,1280000,1070000,2320000,4160000,6640000,18240000,31040000,64640000,133120000,177920000,440320000,,,,,,,,,
F359C,100ul virus,880000,1160000,1010000,990000,1100000,1960000,2700000,3520000,8880000,16960000,23680000,37440000,58880000,93440000,158720000,299520000,,,,,
F359C,100ul virus,780000,960000,660000,660000,820000,1460000,2940000,4440000,10720000,18800000,44160000,68800000,97280000,253440000,327680000,,,,,,
F359C,10ul virus,720000,880000,850000,770000,520000,1860000,2400000,3180000,9280000,14960000,21760000,51520000,81920000,134400000,296960000,417280000,,,,,
F359C,10ul virus,600000,770000,560000,830000,1180000,2080000,2480000,6320000,12720000,18320000,46720000,76480000,122880000,277760000,422400000,,,,,,
F359C,1ul virus,600000,800000,740000,560000,580000,720000,600000,1240000,2400000,2960000,7360000,13280000,15120000,33280000,50240000,144640000,,,,,
F359I,1ml virus,1140000,1870000,2810000,4640000,8960000,9040000,14960000,24640000,50880000,76800000,121600000,133120000,366080000,,,,,,,,
F359I,1ml virus,870000,1120000,2250000,3640000,7360000,12160000,24960000,47040000,55360000,158720000,185600000,409600000,,,,,,,,,
F359I,100ul virus,860000,1310000,1230000,2480000,3060000,4300000,10160000,16640000,28800000,53120000,62720000,125440000,175360000,584480000,,,,,,,
F359I,100ul virus,650000,950000,830000,1530000,2380000,3160000,8160000,12320000,23680000,44480000,104960000,156160000,224000000,389120000,,,,,,,
F359I,10ul virus,990000,1130000,990000,1370000,1340000,2520000,3280000,5120000,10800000,20480000,26720000,58880000,115840000,149760000,322560000,,,,,,
F359I,10ul virus,790000,950000,850000,490000,860000,1640000,2120000,3680000,10240000,17120000,29440000,42240000,75520000,147200000,258560000,,,,,,
F359I,1ul virus,1000000,1010000,940000,740000,800000,1400000,1820000,1940000,4880000,8400000,16720000,30720000,51840000,112640000,284160000,,,,,,
Q252H(mini,1ml virus,1280000,2540000,3330000,5640000,6640000,11440000,27200000,44160000,93440000,247040000,409600000,,,,,,,,,,
Q252H(mini,1ml virus,1120000,2470000,3120000,4880000,8880000,10880000,25600000,40960000,126720000,184320000,337920000,,,,,,,,,,
Q252H(mini,100ul virus,1610000,1820000,2870000,3320000,5360000,9040000,15040000,32960000,55360000,117760000,200960000,414720000,,,,,,,,,
Q252H(mini,10ul virus,1310000,2170000,1550000,1320000,1600000,2200000,4160000,6640000,15520000,32000000,52160000,104960000,236800000,432640000,,,,,,,
Q252H(Maxi,1ml virus,870000,1810000,2100000,3660000,6160000,12960000,22400000,45440000,96000000,166400000,286720000,,,,,,,,,,
Q252H(Maxi,1ml virus,1060000,1810000,2390000,4480000,8400000,14080000,23040000,44160000,112640000,162560000,281600000,,,,,,,,,,
Q252H(Maxi,100ul virus,1300000,1530000,1750000,2380000,2980000,3600000,8960000,11280000,23360000,39360000,110080000,152320000,348160000,,,,,,,,
Q252H(Maxi,10ul virus,1480000,1840000,1460000,1320000,1340000,1240000,2360000,3920000,6160000,10160000,21120000,43840000,90880000,179200000,291840000,,,,,,
Y253F,1ml virus,1220000,1540000,1650000,1020000,1020000,1060000,1920000,4360000,11120000,21920000,48960000,134400000,252160000,706560000,,,,,,,
Y253F,1ml virus,970000,1010000,910000,760000,600000,540000,760000,1360000,1640000,3020000,7280000,12000000,28480000,51840000,125440000,197120000,337920000,,,,
Y253F,1ml virus,1380000,3270000,2220000,1220000,1120000,1080000,1140000,2240000,4500000,11200000,23520000,46720000,78720000,209920000,334080000,555520000,,,,,
Y253F,1ml virus,1830000,3730000,2900000,1620000,1720000,1740000,3860000,8800000,16000000,47360000,106240000,226560000,481280000,832000000,,,,,,,
Y253F,1ml virus,2140000,3810000,2860000,2120000,1720000,1700000,3620000,5120000,10000000,18560000,71200000,113920000,232960000,529920000,,,,,,,
Y253F,1ml virus,1540000,2940000,3040000,1680000,1560000,2200000,5020000,6160000,13120000,21760000,67520000,107520000,212480000,384000000,,,,,,,
Y253F,100ul virus,1990000,3330000,3000000,1280000,1160000,1420000,1340000,1580000,1040000,1960000,3100000,4080000,6960000,13760000,20800000,64000000,106240000,166400000,,,
D276G(minipre plasmid),1ml virus,1190000,1580000,2740000,4100000,8320000,18320000,43200000,94080000,184320000,328960000,581120000,,,,,,,,,,
D276G(minipre plasmid),1ml virus,1140000,2160000,2180000,4920000,10400000,18000000,45120000,104320000,185600000,368640000,558080000,,,,,,,,,,
D276G(minipre plasmid),100ul virus,1200000,1680000,1400000,1920000,2760000,5880000,9920000,19520000,53440000,77120000,149760000,313600000,601600000,,,,,,,,
D276G(minipre plasmid),10ul virus,1540000,2060000,1600000,1180000,1420000,1880000,3120000,5780000,13840000,20560000,40000000,107200000,216320000,458240000,954880000,,,,,,
D276G(maxipre plasmid),1ml virus,1420000,1680000,2620000,4920000,11360000,18080000,46400000,80000000,183040000,348160000,663040000,,,,,,,,,,
D276G(maxipre plasmid),1ml virus,1140000,1810000,2750000,5340000,8800000,15840000,33600000,73920000,140800000,427520000,524800000,,,,,,,,,,
D276G(maxipre plasmid),100ul virus,1190000,1630000,1430000,2400000,2460000,5360000,12800000,25600000,66560000,181760000,249600000,576000000,,,,,,,,,
D276G(maxipre plasmid),10ul virus,1270000,1880000,1520000,1260000,1420000,1820000,3680000,9360000,17600000,43200000,73920000,145920000,344320000,576000000,,,,,,,
E355G(minipre plasmid),1ml virus,1160000,1740000,1920000,4140000,6240000,15040000,37440000,75840000,213760000,330240000,560640000,,,,,,,,,,
E355G(minipre plasmid),1ml virus,1100000,1790000,2050000,3660000,6880000,15440000,30080000,85440000,156160000,323840000,535040000,,,,,,,,,,
E355G(minipre plasmid),100ul virus,600000,1140000,790000,1060000,1240000,2180000,4680000,10000000,19200000,36480000,91200000,166400000,354560000,701440000,,,,,,,
E355G(minipre plasmid),10ul virus,1450000,2090000,1540000,1200000,1060000,1180000,1800000,3700000,8560000,14560000,36480000,56320000,170240000,288000000,581120000,,,,,,
E355G(maxipre plasmid),1ml virus,1030000,1460000,2610000,4620000,7680000,17920000,35840000,89600000,213760000,396800000,545280000,,,,,,,,,,
E355G(maxipre plasmid),1ml virus,1400000,1770000,2290000,4980000,10480000,18160000,38400000,82560000,140800000,277760000,471040000,,,,,,,,,,
E355G(maxipre plasmid),100ul virus,990000,2020000,1580000,2340000,2380000,4880000,11440000,32960000,74880000,139520000,271360000,670720000,,,,,,,,,
E355G(maxipre plasmid),10ul virus,1270000,1850000,1520000,1140000,820000,860000,1620000,2400000,6320000,11920000,37440000,86400000,176640000,241920000,450560000,,,,,,
F359L(minipre plasmid),1ml virus,1060000,1790000,1900000,2700000,4380000,6800000,12480000,37120000,60800000,117760000,307200000,486400000,1011360000,,,,,,,,
F359L(minipre plasmid),1ml virus,980000,1460000,1640000,2820000,3180000,6640000,11840000,34240000,68160000,133120000,230400000,512000000,1064960000,,,,,,,,
F359L(minipre plasmid),100ul virus,1060000,1280000,1380000,1060000,640000,1360000,1680000,3000000,4960000,13040000,20160000,45760000,69120000,162560000,293120000,640000000,,,,,
F359L(maxipre plasmid),1ml virus,1150000,2100000,1750000,2500000,4660000,8160000,19200000,32320000,60800000,140800000,321280000,,,,,,,,,,
F359L(maxipre plasmid),1ml virus,950000,2500000,2420000,2460000,3940000,8000000,18560000,32640000,58560000,135680000,264960000,453120000,,,,,,,,,
F359L(maxipre plasmid),100ul virus,1560000,1850000,1820000,1660000,1100000,1420000,2240000,3620000,6160000,12000000,24240000,42240000,105920000,184320000,288000000,629760000,,,,,
F359L(maxipre plasmid),10ul virus,1550000,1930000,2020000,1280000,800000,980000,1120000,1040000,2240000,2860000,5760000,12320000,21760000,33600000,69120000,148480000,266240000,619520000,,,
H396P(minipre plasmid),1ml virus,1020000,1350000,2840000,4080000,8160000,17200000,45440000,60160000,180480000,263680000,591360000,,,,,,,,,,
H396P(minipre plasmid),1ml virus,840000,1490000,2770000,4520000,11520000,23440000,50560000,70080000,136960000,272640000,568320000,,,,,,,,,,
H396P(minipre plasmid),100ul virus,990000,1420000,1390000,2100000,3680000,6800000,10000000,28160000,52800000,90560000,215040000,462080000,634880000,,,,,,,,
H396P(minipre plasmid),10ul virus,1190000,1480000,1490000,1120000,1040000,1220000,2140000,3740000,8400000,15680000,26560000,84480000,134400000,321280000,529920000,,,,,,
H396P(maxipre plasmid),1ml virus,830000,1860000,2740000,5260000,12320000,14720000,35200000,59520000,171520000,282880000,542720000,,,,,,,,,,
H396P(maxipre plasmid),1ml virus,910000,1400000,2410000,4220000,7920000,14960000,27840000,55360000,116480000,262400000,460800000,,,,,,,,,,
H396P(maxipre plasmid),100ul virus,1330000,1640000,1690000,1900000,3020000,4520000,8800000,15440000,39360000,53120000,152320000,286720000,599040000,,,,,,,,
H396P(maxipre plasmid),10ul virus,1470000,1780000,1870000,1020000,1180000,1800000,2100000,7120000,12000000,29760000,46720000,166400000,273920000,524800000,,,,,,,
F486S(minipre plasmid),1ml virus,1460000,1710000,2450000,2240000,3560000,4240000,13520000,23040000,51520000,63040000,175360000,256000000,455680000,,,,,,,,
F486S(minipre plasmid),1ml virus,1250000,1820000,2020000,2480000,2840000,6320000,13520000,20800000,39040000,60480000,162560000,320000000,458240000,,,,,,,,
F486S(minipre plasmid),100ul virus,1300000,1600000,1400000,1020000,1060000,1240000,2300000,4240000,8320000,16160000,28160000,59520000,154880000,389120000,650240000,,,,,,
F486S(minipre plasmid),10ul virus,1500000,1880000,1880000,1060000,940000,780000,680000,1380000,1560000,3560000,5040000,6720000,17200000,26560000,51200000,108800000,215040000,373760000,,,
F486S(maxipre plasmid),1ml virus,1170000,1570000,1180000,1920000,2180000,3300000,5080000,9200000,20080000,38080000,65280000,217600000,326400000,583680000,,,,,,,
F486S(maxipre plasmid),1ml virus,1330000,1360000,1430000,1260000,1480000,2200000,4180000,8560000,12000000,26560000,46080000,131840000,250880000,491520000,,,,,,,
F486S(maxipre plasmid),100ul virus,1090000,1570000,1260000,820000,540000,840000,1160000,1640000,2980000,5300000,7280000,17680000,32640000,76160000,180480000,290560000,573440000,,,,
H396R,1ml virus,870000,1970000,3410000,5320000,11920000,16800000,47040000,85760000,167680000,312320000,532480000,,,,,,,,,,
H396R,1ml virus,1300000,2060000,3060000,5920000,12880000,19200000,44160000,93120000,149760000,303360000,527360000,,,,,,,,,,
H396R,100ul virus,1400000,1720000,1560000,2440000,3820000,6720000,15360000,30080000,44800000,67840000,131840000,271360000,634880000,,,,,,,,
H396R,10ul virus,1260000,1820000,1730000,1400000,1560000,2040000,3600000,6800000,12080000,17680000,46720000,72640000,161280000,336640000,645120000,,,,,,
